review_text,rating,sentiment
After exactly month and a half this card is done...and with it i lost all my pics and videos...just after the return policy expired!! card is not recognized by my phone or PC. Trying to get RMA from Sandisk...I own the S3 and have read extensive problems with the 32 and 64gb card class 10! Samsung says is Sandisk...and Sandisk says is the phone ??? But i've seen other cards failing with different phones! All Android by the way...What's the problem ?,2.0,0
"I bought 4 of these units (yes, at Amazon):  SanDisk Ultra 32 GB microSDHC Class 10 UHS-1 Memory Card 30MB/s with Adapter SDSDQUA-032G-U46A for 3 Samsung Galaxy SIII and one Samsung Note 2, and found that one in the SGIII has stopped working. I tried everything, in a computer, in different adapters - dead is dead. Since the other three are used by non-techno people, I am not sure if they are still working or not.When I contacted SanDisk, they gave me test instructions, which of course all failed the tests. To return, I have to pay for shipping that MUST BE tracked. This will cost around $20 for a $26 item. I ignored this, and shipped with a regular mail. I should not expect anything back, but who knows.For $6 more I have another unit, and I can tell you it will not be a SanDisk Ultra. Oh, well, the average price for the 3 remaining units will then be $34 (33% more than the purchase price).If I get a replacement, I will update this message.Update:I got an e-mail from SanDisk to advise me that they did receive the item and it is being processed. Shipping without tracking cost me $0.65 vs. $20. At least I have to give their customer service (or return department?) credit for being honest. Too bad the memory cards have problems, as SanDisk had an excellent name for providing good quality products. Maybe I should give this another 1/2 star, but there no such thing.",2.0,0
"I'm using this in a SAMSUNG GALAXY S3 16GB unlocked smartphone and the only problem is as you write more and more flies to the card it gets slower and slower to the point that you'll be so p.o at a crucial moment , say for example you want  to access a video  or doc , that when you do actually get your file you've lost  all faith in the card .So buy it for the capacity but always remember it's not reliable  for fast access.",3.0,1
"had to send it back to SanDisk.  They did replace it at no cost - which is nice - but still ... if I had lost a bunch of data I would have been pretty bummed.  I used it in my phone to store music.  one day i turned on my phone and it said &#34;can't read card&#34;  that was it - i tried putting it in my computer to reformat, wasn't even recognized as a drive at all.",3.0,1
I get the occasional dropped frames when using it to record HD video in HD camera. Solid for the 1 couple of weeks. Time will tell.,3.0,1
"Used on a Galaxy Note and so far it has been great, fast card and excelent brand, a+ performance !Update may 10 2013, it stopped working! It does not work with my Galaxy Note or my PC, sadly it is not recognized by any device...",3.0,1
"8 gb card works fine in the device, but this 32 gb card will unmount when moving or copying large amounts of data.Never tried reformatting or in-depth troubleshooting, but I expect products from a reputable company like SanDisk to just work.",2.0,0
"NOT GOOD REPEATEDLY SELF EJECTS FROM NEW GALAXY S4  RETURNED FOR EXCHANGE OR REFUND....BOUGHT TWO ONE WORKS WELL BUT ONE DOESN'T I GUESS IS DEFECTIVE....I HAVE TWO GAL S4,..IS WHY I BOUGHT 2...",1.0,0
"This SanDisk UHS-1 TF Card is in good quality.However, it is not working as fast as the Class 10 standard. For operating a series of 4KB files, it can only read at ~2.6MB/s and write at 1.5MB/s.Compared to the SAMSUNG UHS-1 microsd, the SAMSUNG UHS-1 card can at least process 5MB of 4KB files per second, either reading or writing. For reading/writing giant files, This Sandisk card can reach &#62;30MB/S for reading and &#62;15MB/s for writing, which is acceptable for this price, but still a bit lower than SAMSUNG.",3.0,1
"I use it for my galaxy s4 and this card crashed on me few times, i lost all my photos and music. Thankfully they were all backed up but the worst part is, the card completely stopped working at one point. I had to contact sandisk for a replacement and it was a hassle.",3.0,1
does what is was designed,5.0,2
For the one that are afraid of buying it to use with your tablet: good news. Is tiny piece of memory works fine with samsung galaxy note N8000. I had to do nothing. Just plug it. no problems at all. It runs smooth so far.,5.0,2
Received a defective one that did not want to format.  Returned it.  Bought a different brand instead although from past experience Sandisk has been fine.,3.0,1
After exactly month and a half this card is done...and with it i lost all my pics and videos...just after the return policy expired!! card is not recognized by my phone or PC. Trying to get RMA from Sandisk...I own the S3 and have read extensive problems with the 32 and 64gb card class 10! Samsung says is Sandisk...and Sandisk says is the phone ??? But i've seen other cards failing with different phones! All Android by the way...What's the problem ?,2.0,0
"Reliable and inexpensive. However, it's quite slow, far, far slower than the 64GB samsung pro microsdxc. The Samsung works well for interactive use while I would only use this Sandisk card for applications where speed isn't important.",3.0,1
I bought this when it was on a special deal.  Am happy with my decision to purchase this and do recommend it.,5.0,2
"Bought 2 of these for the wife's & my Android phone. When her's failed after 2 months, we figured it was just luck of the draw. Now mine failed after just over 4 months, losing a bunch of photos & videos (I made sure to back up every few weeks but even so, we just lost a bunch of photos of our 2 month newborn).Clearly SanDisk had a bad batch with this lot and as the return policy is horrible, I won't be buying any more SanDisk, no matter how cheap (when we bought them on sale around January 2013 they were over half the price of similar SD cards; again, SanDisk clearly knew they had a bad batch, shame on them for dumping them on the customer, no matter how cheap).While I would presumed they would have solved the problem in production, buy at your own risk, SanDisk will sell product with ridiculous failure rate.EDIT: After submitting my review I did some more research on other sites and the low star reviews here. SanDisk is so clearly guilty of selling a defective product from the batch about 6 months ago. Which as I said before, is when they put them on a super discount sale. They knew what they were doing and they are thumbing their nose at customers who just fell outside warrantee (like myself).To knowingly sell your customer something that is going to fail at an unacceptable rate and then ignore them because it failed a little bit outside warrantee is just bad faith. I beg people considering buying this product to not do so, and thumb up the reviews warning of failures. It is only when companies lose sales do they reconsider not screwing their customers like this.Personally I have bought several SanDisk thumb drives, CompactFlash cards, and a Sandisk MP3 player. The thumb drives were ok but I wouldn't buy another mp3 player from them (it was buggy as hell). Up until now I had an overall neutral to favorable opinion of them, not anymore.If you think I am overreacting, please just skim through a few pages submitted in springtime of 2013. There is at least one or more ""6 months and it failed"" reviews per page.",1.0,0
"I purchased this for my go pro hero 3... Its a solid card, but unless your planning to buy several I would recommended going with the 64 gig. At the higher capture setting you can only get a little over an hour or so of video time.",5.0,2
"Bought it, installed it in my Droid RazrM never removed it and it died at a little over 6 months now. Did not store apps or anything. just pictures and video from the phone.",1.0,0
"Simply works, what else matters?  Why does Amazon insist on a minimum number of words?  This is a simple product that works.  That' s all that needs saying.",5.0,2
"Had a 16GB card in my S4 and my wife didn't have a memory card in her S3, so I bought a couple of these for us. I needed a bigger card because I load custom ROMs and such and she needed one for her media. They work great and have a pretty nice capacity!",5.0,2
"Seems to be fast. I use it in a Galaxy note for media storage, and it seems to move files as well as any USB stick.",5.0,2
"It's a memory card, what can you say?  It was a good value, and has held up its end of the deal.",5.0,2
"I think this is probably a fine product, but it wasn't compatible with my Samsung Galaxy S3 phone. Formatted as exFAT (as it came from the factory), didn't work at all, but that's a known problem with the GS3. But even after reformatting to FAT32, the card caused my phone to reboot multiple times.",3.0,1
"Have only transfered some pictures and music so far. My S3  Galazy had no problems recognizing the card...hear a lot of rumors about memory cards not working, having to format first, etc., but this one worked from me right out of the box.The included Adapter is also good when I want to use with my computer(s) for slide shows since MicroSDHC are not supported by many if any..just to small.",3.0,1
"Bought 2 of these for the wife's & my Android phone. When her's failed after 2 months, we figured it was just luck of the draw. Now mine failed after just over 4 months, losing a bunch of photos & videos (I made sure to back up every few weeks but even so, we just lost a bunch of photos of our 2 month newborn).Clearly SanDisk had a bad batch with this lot and as the return policy is horrible, I won't be buying any more SanDisk, no matter how cheap (when we bought them on sale around January 2013 they were over half the price of similar SD cards; again, SanDisk clearly knew they had a bad batch, shame on them for dumping them on the customer, no matter how cheap).While I would presumed they would have solved the problem in production, buy at your own risk, SanDisk will sell product with ridiculous failure rate.EDIT: After submitting my review I did some more research on other sites and the low star reviews here. SanDisk is so clearly guilty of selling a defective product from the batch about 6 months ago. Which as I said before, is when they put them on a super discount sale. They knew what they were doing and they are thumbing their nose at customers who just fell outside warrantee (like myself).To knowingly sell your customer something that is going to fail at an unacceptable rate and then ignore them because it failed a little bit outside warrantee is just bad faith. I beg people considering buying this product to not do so, and thumb up the reviews warning of failures. It is only when companies lose sales do they reconsider not screwing their customers like this.Personally I have bought several SanDisk thumb drives, CompactFlash cards, and a Sandisk MP3 player. The thumb drives were ok but I wouldn't buy another mp3 player from them (it was buggy as hell). Up until now I had an overall neutral to favorable opinion of them, not anymore.If you think I am overreacting, please just skim through a few pages submitted in springtime of 2013. There is at least one or more ""6 months and it failed"" reviews per page.",1.0,0
"I put this in my Galaxy Note II and put a bunch of music and PDFs on it.  I also used it to save videos and photos.  It worked well for about 2 months then, on Christmas Day (today), it said that there was an error reading the card and the card was now blank.  My phone no longer recognizes the card and even putting it into its adapter and sticking it in the SDHC reader of my laptop doesn't work.If this is SanDisk Quality, then I am not impressed.  I am going to have to deal with their warranty replacement but I'd rather have a refund than get another card that might fail after 2 months...",1.0,0
"failed in my galaxy note after 8 months.lost all my pictures and videos that werent backed up.the card worked fine until suddenly wasnt being recognized on the phone or the computer.Sandisk honored the warrenty and sent a replacement and it works, but I am less confident about the product and afraid to lose data on it in later when i'm not prepared.",1.0,0
"I bought this card for my android based phone, soon I started getting messages that my card had been removed and or it was damaged, Tried it in my tablet same thing, and this was not the first card of this brand that I had bought that experienced this problem. Went to several online forums to see what the solution is; then someone hit upon it, it just might be a problem with this brand of cards.I bought a PNY brand micro SD card and had no problem whatsoever.",1.0,0
No problems with the card what so ever. Bought it for a new tablet just plugged it in and started to move files to it in a second.,5.0,2
"Its going back because it doesn't meet spec.Tested with  H2TestW, write speed is only 9.69 MB/s. Read speed is good at 18.80 MB/s. (although Sandisk claims up to 30MB/s)Meanwhile, a class (10) 32GB Transcend SD card I have writes at 15.30 and reads at 18.20.I also have a few class (6) 4GB Sandisk microSD cards writing at 15.40 and 15.50. Reading speed is 18.40 and 18.30.I also have a class (4) Kingston card that beats this class 10 Sandisk.",2.0,0
"Not bad, I doesnt feel any quicker than a normal 32GB card.  And you only get 27GB of storage. 20",3.0,1
"Downloaded eraseUS and formatted to fat32 with 32k clusters.  Mounted to either 7 or 10 with no problem, see nada instability.  But that's not the coool thing.  I actually have two of these.  One is in the sd slot, one is in the power port via the samsung sd/usb adapter.  Soooo, my 16g 10 is actually a 145gb 10.  I can't imagine what I will actually do with all that, but I have it.  Maybe run a Linux port and web server (just because I can).  Too bad about that external storage limit on iOS....",5.0,2
"I thought this was a sure winner from the average 4.5+ rating with thousands of reviews.  But if you notice the bad reviews involve the card becoming unreliable after a couple weeks of use. Typically people write reviews shortly after receiving the product.  My card worked fine for 2 weeks and then started having problems.  I re-formatted the card, re-inserted in the phone, removed the battery, every trick I could read about but the card still remained unreliable and the phone was thinking it was being removed at random times.  So I stuck my olders, slower 8GB microSD card in, worked fine.I suspect one or both is happening with this card:(a) Some cards are defective but it takes some usage for them to start failing to where the user notices.(b) For some reason, this brand of card doesn't like certain devices, like my Samsung Galaxy S3My guess is I got a lemon, but I'm not chancing it to getting another one and will just move on to another reputable brand.""You get what you pay for"" may be applicable here.  But a lot of others did have success with this card.  So YMMV.",1.0,0
"However, SanDisk replaced it and didn't charge for shipping.  So I guess I'll wait and see how long this one lasts.",3.0,1
"I got this to add more memory to my HTC EVO LTE phone. It works perfectly, is very fast on both reads and writes, and at 32GB, provides a lot of additional storage on top of the 8GB in the phone. I recommend this specific card for any Android phone. Sorry Apple users... No expansion slot for you! :)",5.0,2
"I wanted to believe that those people who wrote bad reviews on memory cards were just unlucky. Well it sucks being one of them. I cannot get this card to format not matter what device, software or technique I use. The mistake I made was that I didn't use the card right away to see if it was good -I thought, its a memory card, what could go wrong. Now I'm out of the US and returning it is not economically sensible. I don't know if it's quality control, but this card simply cannot work in any reader, device, with or without adapter (write protection off on the reader of course). The card shows up on devices, may even show data being copied then when you refresh, nothing has happened. All formatting software says it's write protected and nothing I do can remove it. Why would a new card come write protected anyway?  Very disappointing, especially since I lost data from my phone.",1.0,0
"Despite the Class 10 rating, this card has much slower write speeds than some others and there are numerous examples online of it not being fast enough to work with the high resolution video from the GoPro Hero 3 Black Edition. If you're using that camera, choose one of the cards recommended on their site.",1.0,0
"My Droid Razr runs a little slow, is it because of this card?  I can't be sure.  What I am sure about is I put this card into my GoPro Hero 3 Black Edition and the video I record comes out choppy.  So I bought the SanDisk Extreme Pro 16GB version of this card, and the GoPro works fine now.  SanDisk is normally very good, so perhaps I somehow got a bad Ultra card.  I never returned or exchanged it because the warranty had expired before I tried it in my GoPro and knew for sure the card was slow.  The SanDisk Ultra should work in the GoPro Hero 3 according to the GoPro website, so again, perhaps I just got a subpar card...",3.0,1
"I bought this card excited to expand the 16GB of storage that come with the phone.  However, this card had issues mounting when I would start the phone.  After some research, it looks like SanDisk had a large batch of bad cards.  If formatted as FAT32 the issue rarely occurred.  But when formatted as exFAT, like is ideal for mobile devices, it would happen every time the phone was reset.  Take caution with these cards.  The bad batch should be over, I have read, but if looking to use in a Samsung phone, maybe considering buying a different type of card, as this is the only brand I have seen with issues.  Other than that, it is a good card with great size.",3.0,1
"I think I got 8 or 9 months out of this before it started to fail. It is still working intermittently but my phone will suddenly stop being able to read it for no apparent reason. &#34;Designed for durability&#34; my foot. It might survive in salt water but it didn't survive in a phone that, frankly, doesn't get a whole lot of use. This is the first Sandisk product I've ever had fail on me. It may still be under warranty but I don't care. Now that I have to replace it I'm going to go with another brand.",2.0,0
"I use this in the S2, works great, movies, pictures, passworded storage areas, everything is working fine after 6 months! Your mileage may vary, good luck.",5.0,2
Tried this with its adapter on DSLR Camera and got some errors at times while trying to save data to card.  It is ok for other uses like computer external data.,2.0,0
"This SanDisk UHS-1 TF Card is in good quality.However, it is not working as fast as the Class 10 standard. For operating a series of 4KB files, it can only read at ~2.6MB/s and write at 1.5MB/s.Compared to the SAMSUNG UHS-1 microsd, the SAMSUNG UHS-1 card can at least process 5MB of 4KB files per second, either reading or writing. For reading/writing giant files, This Sandisk card can reach &#62;30MB/S for reading and &#62;15MB/s for writing, which is acceptable for this price, but still a bit lower than SAMSUNG.",3.0,1
"I have always trusted the SANDISK brand for valuable data.  This was ordered for my tablet and again, great size and quality for the price.",5.0,2
"Everything transfered over to my new SD card fine, but now my phone will randomly lose the SD card and have to search and re-scan it. Tried another SD card and no problems. Now I can only get a refund since its out of stock.Updated 12/9/12-SD card will not not work. My phone or computer will not read it. Lost everything. I'd advise if you are looking to purchase an SD card look at another brand.",1.0,0
"I bought this on October 9th and didn't start using it for about a week after I received it on the 11th. Well two days ago it died a quick death, I can't even format it! So after all these years of buying SanDisk products I guess I will give in and start paying a little more for Kingston it seems as though SanDisk is getting to be a cheaply built product. You would think that a product this small and inexpensive would be able to be replaced without cost within the first 90 days but that is my fault for not reading the fine print so lesson learned. Buy it right and buy it once so go with something else!",1.0,0
"SanDisk makes quality products and you can count on them at a small price than the competition. Again, why pay more for the same thing when this fits the bill for your needs. Save your extra money or give it to a needy family member....We recommend this product with an A+ rating.",5.0,2
"I've only had this Memory card for 3.5 weeks and it not only has recently started resetting, it intermittently loses contact with my Cell phone and the memory is lost, erasing everything on it!!!!!! Now I find out my return date has past and I'm stuck with a peice of s*** memory card that I can't do a damn thing about! Thanks a lot for nothing! I will never buy direct from here again!Also, I didn't realize I was supposed to have an adapter too? wow where the heck is that at???",1.0,0
"UPDATE 6/18/14: Well, I suppose nothing lasts forever. After almost a year, the card has gone bad. I use the card a lot in my smartphone - a T-Mobile Samsung Galaxy S3 (SGH-T999). All my photos, voice recordings, and downloads go on this card, and the downloads are transferred to my computer almost daily via USB cable. A few days ago, a video file I transferred to my computer refused to play correctly. No video, and the audio was skipping and squealing, which I recognize as the sound of a corrupted file. I thought maybe the transfer didn't complete; tried it again, same result. I tried to play the file right on the phone, and it didn't play on my phone! I knew there was a problem. I tried copying the video to my phone storage and playing it there, still no luck. Then I deleted the video and decided to download it directly to my phone, not the SD card - EUREKA. It played perfectly.I formatted the SDXC card twice - once from the phone and once through Windows - and tried the same test. Downloaded video file to the card, then to the phone. Same result both times - it wouldn't play on the SD card, but it did on the phone. All videos used to play perfectly on the SD card. Finally, I swapped out the card for my older, Sandisk Ultra 32GB Micro SDXC card. Like magic, it worked perfectly no matter what I played on it. So yeah, the 64GB card is dead. I should note that the card performed flawlessly for nearly a year up until a few days ago.Thankfully, Sandisk Ultra products like this carry an incredible Lifetime warranty - or 10 years for regions that don't recognize ""lifetime""; their Extreme line of cards raise that to 30 years! I've contacted their support for an RMA so I'll update this review as events unfold. If they replace it quickly, I'll bump this back up to 5 stars.ORIGINAL REVIEW:I'm using a Samsung Galaxy S3 smartphone. Sandisk Ultra Micro SD cards have never failed me, and this one's no exception. I used to have a 32gb card. They're fast and reliable and never corrupt data, which is more than can be said for some cheaper brands like PNY (those fail quite often). I can't wait to get the new 128GB model!",3.0,1
"It works fine with my galaxy note 8.0... it is hard to review now for performance, but the price is good... I think.",3.0,1
I am having some trouble with it in my cell phone (Motorola Triumph)  Music player has not been reliable since I loaded songs on it.  Not sure if it is the card or my phone and it is not a consistent problem.  I need to try it on a few other devices.,3.0,1
randomly died out of nowhere. i have the camera on for about 2 min and the card worked. turned the camera off and back on a few min later and the card no longer worked. I have no idea what happened but this seems to be a common problem with these cards.,1.0,0
"Used on a Galaxy Note and so far it has been great, fast card and excelent brand, a+ performance !Update may 10 2013, it stopped working! It does not work with my Galaxy Note or my PC, sadly it is not recognized by any device...",3.0,1
for my note pro.  note pro says 29.71 GB available...the mysterious 2.29 GB black hole strikes again.,5.0,2
"This card continually unmounted in my S4. It was really painful, when I remounted the card I sometimes retrieved my files, sometimes not. I have to say, though, that a card test in my PC, using Crucial diagnostics, went fine. My gut feel is that the card overheats, and shuts down in the S4, although I have no proof of this. What I do know is that it didn't work for me, and many others (google it). Naturally, Amazon refunded me the purchase cost when I returned the card, gotta love Amazon.I now have a Samsung 64g card, and no problems so far. I like Sandisk, but there's a compatibility problem here with the S4.",1.0,0
"The chip worked fine, fit perfectly, but it is SO TINY, if it falls out you are going to have a hard time finding it.If your application is a Tablet, or pad, if it has a &#34;push-in&#34; holder...you will want to put some tape, or other securing agent across the top of the chip and onto the Table sides.  If I had thought of it, clear finger nail polish would have worked just fine, or even a half drop of super glue on the top.I didn't, and it's forever gone now.  I changed from Android to Ipad and very satisfied that I upgraded to Apple.",3.0,1
"This is the card that solved the problem with three dash cams that would not operate properly, the problem was the cheap wrong type SD Card, use this card and it works!!!",5.0,2
Um nothing much to really say about it . The adapter for it works but I gave it 3 stars because it goes in n out sometimes,3.0,1
"The description is quite confusing - it says at same time class 10, which means that you should not expect write speed higher than 10mb/sec, and at the same time, it says UHS-1, which means 30mb/sec write speed. The truth, as usually, is somewhere in the middle, but close to lower end. I have a dedicated, high speed PCI-E cardreader, which I use for chip benchmarking. So, this card showed 12mb/sec sequental write speed and 34mb/sec sequental read speed. So, UHS-1 is ""true"" only for read operations, meaning that if you wanted this card to speed-up your digital camera speed photography - you've made the wrong choice. Just for reference, this cardTranscend 16 GB Class 10 microSDHC Flash Memory Card TS16GUSDHC10has sequental write speed of 17mb/sec and sequental read speed of 24mb/sec. As you see, the cheaper transcend has average 40% faster write speeds!",1.0,0
"I put this in my Galaxy Note II and put a bunch of music and PDFs on it.  I also used it to save videos and photos.  It worked well for about 2 months then, on Christmas Day (today), it said that there was an error reading the card and the card was now blank.  My phone no longer recognizes the card and even putting it into its adapter and sticking it in the SDHC reader of my laptop doesn't work.If this is SanDisk Quality, then I am not impressed.  I am going to have to deal with their warranty replacement but I'd rather have a refund than get another card that might fail after 2 months...",1.0,0
I have used and tested this memory card on GoPro Hero3 Black Edition and everything works great. No problem at all.,5.0,2
"If you were looking for a class 10 microsd card in order to DIRECTLY transfer files from your PC to your phone the fastest way possible you can go with a cheaper class 4 instead of this one. The speed is not much different than other class 4 microsd cards I've had. It's very far from the 30mb/s they promise, I got only about 4.5mb/s AT MUCH, and after a few minutes it's downhill from there. I tested on both windows and linux and didn't see a difference. Luckily there's not a lot of difference in price between a high quality class 4 and this one but then again, maybe I didn't look at the class 4 the way I should have since I was focused on getting a class 10. Oh well, you've been warned. Don't expect magic from this card.UPDATE 12/11/2013: Sandisk proactively answered this review to ask me to contact them. The reason I didn't contact them first it's because you usually receive slimy answers from this tech support and hardly any solution or help. It is indeed a waste of time. After sandisk comment I contacted them through one of their live chat agents and this is the interchange. My suspicious were confirmed and I indeed wasted my time:Daniel S.: Hello, thank you for contacting SanDisk. My name is Daniel S.. Please give me a moment while I look into your question.fer da: heyfer da: i just got this answer from sandisk:  http://www.amazon.com/review/R3EMA7XPN7IDZD/ref=cm_cd_notf_message?ie=UTF8&cdForum;=FxFNZEI17MH7ND&cdPage;=1&cdThread;=Tx7VKC9UPWNI9X#Mx3FKEEV0WIILE3Daniel S.: Please tell me what is written on the face of the memory card?fer da: never thought of contacting you because i thought i was just going to waste my time, but it was nice to be contacted proactively by youfer da: okfer da: the same thing as the one on the picturefer da: sandisk ultrafer da: microsdhc Ifer da: 32gbDaniel S.: Please allow me a moment.fer da: will you need more info from the card?Daniel S.: The Sandisk Ultra card is a UHS-I card and provides optimum performances when used with a UHS-I enabled device or card reader.fer da: my phone is off.. lolfer da: it says that it is a class 10 card, i bought it because of the promise of better speeds than the regular class 4 when using it with my phoneDaniel S.: I would like to inform you that you will get the minimum read speed of 10 mbps on a UHS-I enable device as the card is built on the UHS-I technology.fer da: and write speeds?fer da: i'm getting like 4mb/sfer da: a far cry from the 30 MB/s2 promisedDaniel S.: I would like to inform you that so I said the card is built on the UHS-I technology it will give the optimum speed with an UHS-I enable device.Daniel S.: You will get the minimum write speed of 10 mbps with an UHS-I enable device.fer da: okfer da: waste of time confirmedDaniel S.: I would like to inform you that if you'll use this card with an UHS-I enable device it will give you the optimum speed as it's promise.Daniel S.: Is there anything else I may assist you with?***removed one star because of the sliminess of contacting me via amazon to show ""sandisk cares"" but not really offering any real support when contacted.",2.0,0
"Ordered this from Amazon and was expecting it to work perfectly like my other 32GB sandisk (in my galaxy s4). However, I was really disappointed that upon placing it in my note 10.1 2014 edition the card become unrecognizable. I tried reformatting on the computer, on the phone, and yet, no prevail. It could be the firmware or current update of android, but the point is that, if other companies can make a card that works, why not do the same? Maybe I got a bad batch, who knows...I went ahead and ordered the G.Skill microsd card and now it's working perfectly. I'm s",1.0,0
"awesome! Worked well with the Surface 2 tablet.I later return the Surface 2 tablet , since it didn't seem like that I needed it but I made sure to take out the memory card :)Never had any issues with it though when I had it.",5.0,2
This may be the worst memory card I've ever purchased - and I have bought a lot of card over the years - wish I had just stuck with my ADATA cardsFirst issue - I lost a bunch of photos - they just did not exist at all - it was as if I never took them  - but since there was a large gap in the file names I know for sure I didOf 200 photos taken about 40 in the middle just disappearedi could not even recover them using a deep scan toolI've been shooting digital since the mid 90s and this is the first time anything like this has ever happenedThen there is the cheesy SD adapter - the switch was so loose it switched to locked while I was taking pictures.Luckily the camera warned me that the card was read only - after having already taken a bunch of shots that has saved without issueFinally I figured I could just use these in my Samsung phones - no such luck - the second I put them in and took a photo I got an error that it could not right to the card and I could no longer see the 8gig of photos that were on itYes this may be a know issue with the cards - I see a review mentioned that - and I see that SanDisk will replace them - but they cannot replace the photos I lost - so keep that in mind when considering this card - I will,1.0,0
"I dunno if it's a bad copy or what but When I try to transfer files like 2GB or 3GB it doesn't copy! It ejects itself and then mounts itself again. I had to transfer all my songs from my PC through Airdroid which was a pain in the a$$ I can't transfer movies from my PC and by the way I tried formatting it and checking for some errors but same issue but I can move smaller files like 20MB or soVery disappointing especially for such price!UPDATE: Now I have more problems! My phone tells me every now and then that the ""SD card was unexpectedly removed"" and I tried on other phones with the same problem",1.0,0
"Bought October 7th. Passed away December 23rd. RIP.I didn't really even use it because of the built in storage on my GS3. I had about 15 gb of music and movies on it, but only for when I was unexpectedly bored and without my zuneHd. On to the next brand I guess.",1.0,0
"Got this for my Samsung 3.  After 4 months, was no longer accessible - first message I got on the phone was that there was an unformatted Sd card installed.  Next, it wouldn't even recognize the card was in there.  I inserted a different card, and the phone was able to recognize it and play music off it - - so, not the phone.  I also tried having my desktop read the card - - no go there either....",1.0,0
