review_text,rating,sentiment,cleaned_text
Works fine with photo shooting and video recording in EOS camera with the SD adapter. Perfect for tablet and phone memory.,4.0,2,work fine photo shooting video recording eos camera adapter perfect tablet phone memory
"I purhcased this card for my Hero 3 cam.  It worked all of last year, or the 3-4 times i used it.  I used it again this year and had some great once in a  life time ski videos and the card failed.  It could not be read or reformatted.  I lost all my vids.  It was strictly used in my hero 3 cam.  I pulled it out to try to retreive the vids using several PC's, multiple card readers, and recovery software but no good. I have never known a card to fail and I am extremely disappointed.Try another brand.  Next time I will use multiple cards with smaller storage and a different brand.",1.0,0,purhcased this card hero cam worked last year time used used this year had great life time ski video card failed could not_be read reformatted lost vids was strictly used hero cam pulled try retreive vids using several multiple card reader recovery software no_good have never_known card fail extremely disappointed.try another brand next time will use multiple card smaller storage different brand
"Not much to say about this, but it was definitely worth the buy. It comes w/ a small case to hold both itself and the adapter. For just over $10 you really can't go wrong.",5.0,2,not_much say this was definitely worth buy come small case hold adapter really can not wrong
This doesn't work on the galaxy note 10.1. It is getting detected however it is not being utilized by the note 10.1.,1.0,0,this does not_work galaxy note 10.1. getting detected however not_being utilized note 10.1
Crashed... Lost everything... Thanks SanDisk.  Used in gs4..not a solid product couple years worth of stuff gone in an instant.,1.0,0,crashed ... lost everything ... thanks sandisk used gs4 not solid product couple year worth stuff gone instant
"Formatted card with SDFormatter 3.1PC used to test this card Sony vaio C2D sz645 + vaio memory card adapter VGP-MCA20A.h2testw 1.4 test results:Test finished without errors.Writing speed: 6.94 MByte/sReading speed: 12.5 MByte/sH2testw v1.4Android phone Samsung Exhibit 2SDTools test result:9.3MB/s write21.3MB/s readAlso tested write speed with an older model Sandisk usb 2.0 sd card reader and cheap generic unbranded reader, get about same results. I don't have any devices that can handle UHS-1 ""ultra"" speed of this card. Seems like a class 6 card or none of my gadgets can handle 10MB/s write speed or it's a class 6 card sold as class 10.",3.0,1,formatted card sdformatter 3.1pc used test this card sony vaio c2d sz645 vaio memory card adapter vgpmca20a.h2testw 1.4 test resultstest finished without errors.writing speed 6.94 mbytesreading speed 12.5 mbytesh2testw v1.4android phone samsung exhibit 2sdtools test result9.3mbs write21.3mbs readalso tested write speed older model sandisk usb 2.0 card reader cheap generic unbranded reader get same result not_have device can handle uhs1 ultra speed this card seems like class card none_of gadget can handle 10mbs write speed class card sold class
After exactly month and a half this card is done...and with it i lost all my pics and videos...just after the return policy expired!! card is not recognized by my phone or PC. Trying to get RMA from Sandisk...I own the S3 and have read extensive problems with the 32 and 64gb card class 10! Samsung says is Sandisk...and Sandisk says is the phone ??? But i've seen other cards failing with different phones! All Android by the way...What's the problem ?,2.0,0,exactly month half this card done ... lost pic video ... return policy expired card not_recognized phone trying get rma sandisk ... have read extensive problem 64gb card class samsung say sandisk ... sandisk say phone have seen card failing different phone android way ... problem
"I bought 4 of these units (yes, at Amazon):  SanDisk Ultra 32 GB microSDHC Class 10 UHS-1 Memory Card 30MB/s with Adapter SDSDQUA-032G-U46A for 3 Samsung Galaxy SIII and one Samsung Note 2, and found that one in the SGIII has stopped working. I tried everything, in a computer, in different adapters - dead is dead. Since the other three are used by non-techno people, I am not sure if they are still working or not.When I contacted SanDisk, they gave me test instructions, which of course all failed the tests. To return, I have to pay for shipping that MUST BE tracked. This will cost around $20 for a $26 item. I ignored this, and shipped with a regular mail. I should not expect anything back, but who knows.For $6 more I have another unit, and I can tell you it will not be a SanDisk Ultra. Oh, well, the average price for the 3 remaining units will then be $34 (33% more than the purchase price).If I get a replacement, I will update this message.Update:I got an e-mail from SanDisk to advise me that they did receive the item and it is being processed. Shipping without tracking cost me $0.65 vs. $20. At least I have to give their customer service (or return department?) credit for being honest. Too bad the memory cards have problems, as SanDisk had an excellent name for providing good quality products. Maybe I should give this another 1/2 star, but there no such thing.",2.0,0,bought unit yes amazon sandisk ultra microsdhc class uhs1 memory card 30mbs adapter sdsdqua032gu46a samsung galaxy siii one samsung note found one sgiii has stopped working tried everything computer different adapter dead dead since three are used nontechno people not_sure are still working not.when contacted sandisk gave test instruction course failed test return have pay shipping must tracked this will cost around item ignored this shipped regular mail should not_expect anything back knows.for have another unit can tell will not_be sandisk ultra well average price remaining unit will purchase price.if get replacement will update this message.updatei got email sandisk advise did receive item being processed shipping without tracking cost 0.65 vs. 20. least have give customer service return department credit being honest bad memory card have problem sandisk had excellent name providing good quality product maybe should give this another star no_such thing
"I'm using this in a SAMSUNG GALAXY S3 16GB unlocked smartphone and the only problem is as you write more and more flies to the card it gets slower and slower to the point that you'll be so p.o at a crucial moment , say for example you want  to access a video  or doc , that when you do actually get your file you've lost  all faith in the card .So buy it for the capacity but always remember it's not reliable  for fast access.",3.0,1,using this samsung galaxy 16gb unlocked smartphone problem write fly card get slower slower point will p.o crucial moment say example want access video doc actually get file have lost faith card .so buy capacity always remember not_reliable fast access
"had to send it back to SanDisk.  They did replace it at no cost - which is nice - but still ... if I had lost a bunch of data I would have been pretty bummed.  I used it in my phone to store music.  one day i turned on my phone and it said &#34;can't read card&#34;  that was it - i tried putting it in my computer to reformat, wasn't even recognized as a drive at all.",3.0,1,had send back sandisk did replace no_cost nice still ... had lost bunch data would have been pretty bummed used phone store music one day turned phone said 34cannot read card34 was tried putting computer reformat was not_even recognized drive
I get the occasional dropped frames when using it to record HD video in HD camera. Solid for the 1 couple of weeks. Time will tell.,3.0,1,get occasional dropped frame using record video camera solid couple week time will tell
"Used on a Galaxy Note and so far it has been great, fast card and excelent brand, a+ performance !Update may 10 2013, it stopped working! It does not work with my Galaxy Note or my PC, sadly it is not recognized by any device...",3.0,1,used galaxy note far has been great fast card excelent brand performance update may 2013 stopped working does not_work galaxy note sadly not_recognized device ...
"8 gb card works fine in the device, but this 32 gb card will unmount when moving or copying large amounts of data.Never tried reformatting or in-depth troubleshooting, but I expect products from a reputable company like SanDisk to just work.",2.0,0,card work fine device this card will unmount moving copying large amount data.never tried reformatting indepth troubleshooting expect product reputable company like sandisk work
"NOT GOOD REPEATEDLY SELF EJECTS FROM NEW GALAXY S4  RETURNED FOR EXCHANGE OR REFUND....BOUGHT TWO ONE WORKS WELL BUT ONE DOESN'T I GUESS IS DEFECTIVE....I HAVE TWO GAL S4,..IS WHY I BOUGHT 2...",1.0,0,not_good repeatedly self ejects new galaxy returned exchange refund ... .bought two one work well one does not_i guess defective ... have two gal bought ...
"I use it for my galaxy s4 and this card crashed on me few times, i lost all my photos and music. Thankfully they were all backed up but the worst part is, the card completely stopped working at one point. I had to contact sandisk for a replacement and it was a hassle.",3.0,1,use galaxy this card crashed time lost photo music thankfully were backed worst part card completely stopped working one point had contact sandisk replacement was hassle
does what is was designed,5.0,2,does was designed
For the one that are afraid of buying it to use with your tablet: good news. Is tiny piece of memory works fine with samsung galaxy note N8000. I had to do nothing. Just plug it. no problems at all. It runs smooth so far.,5.0,2,one are afraid buying use tablet good news tiny piece memory work fine samsung galaxy note n8000 had nothing plug no_problems run smooth far
Received a defective one that did not want to format.  Returned it.  Bought a different brand instead although from past experience Sandisk has been fine.,3.0,1,received defective one did not_want format returned bought different brand instead although past experience sandisk has been fine
"Reliable and inexpensive. However, it's quite slow, far, far slower than the 64GB samsung pro microsdxc. The Samsung works well for interactive use while I would only use this Sandisk card for applications where speed isn't important.",3.0,1,reliable inexpensive however quite slow far far slower 64gb samsung pro microsdxc samsung work well interactive use would use this sandisk card application speed not_important
I bought this when it was on a special deal.  Am happy with my decision to purchase this and do recommend it.,5.0,2,bought this was special deal happy decision purchase this recommend
"Bought 2 of these for the wife's & my Android phone. When her's failed after 2 months, we figured it was just luck of the draw. Now mine failed after just over 4 months, losing a bunch of photos & videos (I made sure to back up every few weeks but even so, we just lost a bunch of photos of our 2 month newborn).Clearly SanDisk had a bad batch with this lot and as the return policy is horrible, I won't be buying any more SanDisk, no matter how cheap (when we bought them on sale around January 2013 they were over half the price of similar SD cards; again, SanDisk clearly knew they had a bad batch, shame on them for dumping them on the customer, no matter how cheap).While I would presumed they would have solved the problem in production, buy at your own risk, SanDisk will sell product with ridiculous failure rate.EDIT: After submitting my review I did some more research on other sites and the low star reviews here. SanDisk is so clearly guilty of selling a defective product from the batch about 6 months ago. Which as I said before, is when they put them on a super discount sale. They knew what they were doing and they are thumbing their nose at customers who just fell outside warrantee (like myself).To knowingly sell your customer something that is going to fail at an unacceptable rate and then ignore them because it failed a little bit outside warrantee is just bad faith. I beg people considering buying this product to not do so, and thumb up the reviews warning of failures. It is only when companies lose sales do they reconsider not screwing their customers like this.Personally I have bought several SanDisk thumb drives, CompactFlash cards, and a Sandisk MP3 player. The thumb drives were ok but I wouldn't buy another mp3 player from them (it was buggy as hell). Up until now I had an overall neutral to favorable opinion of them, not anymore.If you think I am overreacting, please just skim through a few pages submitted in springtime of 2013. There is at least one or more ""6 months and it failed"" reviews per page.",1.0,0,bought wife android phone failed month figured was luck draw mine failed month losing bunch photo video made sure back every week even lost bunch photo month newborn.clearly sandisk had bad batch this lot return policy horrible will not_be buying sandisk no_matter cheap bought sale around january 2013 were half price similar card sandisk clearly knew had bad batch shame dumping customer no_matter cheap.while would presumed would have solved problem production buy risk sandisk will sell product ridiculous failure rate.edit submitting review did research site low star review sandisk clearly guilty selling defective product batch month ago said before put super discount sale knew were doing are thumbing nose customer fell outside warrantee like myself.to knowingly sell customer something going fail unacceptable rate ignore because failed little bit outside warrantee bad faith beg people considering buying this product not_do thumb review warning failure company lose sale reconsider not_screwing customer like this.personally have bought several sandisk thumb drive compactflash card sandisk mp3 player thumb drive were would not_buy another mp3 player was buggy hell had overall neutral favorable opinion not_anymore.if think overreacting please skim page submitted springtime 2013. least one month failed review per page
"I purchased this for my go pro hero 3... Its a solid card, but unless your planning to buy several I would recommended going with the 64 gig. At the higher capture setting you can only get a little over an hour or so of video time.",5.0,2,purchased this pro hero ... solid card unless planning buy several would recommended going gig higher capture setting can get little hour video time
"Bought it, installed it in my Droid RazrM never removed it and it died at a little over 6 months now. Did not store apps or anything. just pictures and video from the phone.",1.0,0,bought installed droid razrm never_removed died little month did not_store apps anything picture video phone
"Simply works, what else matters?  Why does Amazon insist on a minimum number of words?  This is a simple product that works.  That' s all that needs saying.",5.0,2,simply work else matter does amazon insist minimum number word this simple product work need saying
"Had a 16GB card in my S4 and my wife didn't have a memory card in her S3, so I bought a couple of these for us. I needed a bigger card because I load custom ROMs and such and she needed one for her media. They work great and have a pretty nice capacity!",5.0,2,had 16gb card wife did not_have memory card bought couple needed bigger card because load custom rom needed one medium work great have pretty nice capacity
"Seems to be fast. I use it in a Galaxy note for media storage, and it seems to move files as well as any USB stick.",5.0,2,seems fast use galaxy note medium storage seems move file well usb stick
"It's a memory card, what can you say?  It was a good value, and has held up its end of the deal.",5.0,2,memory card can say was good value has held end deal
"I think this is probably a fine product, but it wasn't compatible with my Samsung Galaxy S3 phone. Formatted as exFAT (as it came from the factory), didn't work at all, but that's a known problem with the GS3. But even after reformatting to FAT32, the card caused my phone to reboot multiple times.",3.0,1,think this probably fine product was not_compatible samsung galaxy phone formatted exfat came factory did not_work known problem gs3 even reformatting fat32 card caused phone reboot multiple time
"Have only transfered some pictures and music so far. My S3  Galazy had no problems recognizing the card...hear a lot of rumors about memory cards not working, having to format first, etc., but this one worked from me right out of the box.The included Adapter is also good when I want to use with my computer(s) for slide shows since MicroSDHC are not supported by many if any..just to small.",3.0,1,have transfered picture music far galazy had no_problems recognizing card ... hear lot rumor memory card not_working format first etc. this one worked right box.the included adapter also good want use computer slide show since microsdhc are not_supported many small
"I put this in my Galaxy Note II and put a bunch of music and PDFs on it.  I also used it to save videos and photos.  It worked well for about 2 months then, on Christmas Day (today), it said that there was an error reading the card and the card was now blank.  My phone no longer recognizes the card and even putting it into its adapter and sticking it in the SDHC reader of my laptop doesn't work.If this is SanDisk Quality, then I am not impressed.  I am going to have to deal with their warranty replacement but I'd rather have a refund than get another card that might fail after 2 months...",1.0,0,put this galaxy note put bunch music pdfs also used save video photo worked well month christmas day today said was error reading card card was blank phone no_longer recognizes card even putting adapter sticking sdhc reader laptop does not_work.if this sandisk quality not_impressed going have deal warranty replacement would rather have refund get another card might fail month ...
"failed in my galaxy note after 8 months.lost all my pictures and videos that werent backed up.the card worked fine until suddenly wasnt being recognized on the phone or the computer.Sandisk honored the warrenty and sent a replacement and it works, but I am less confident about the product and afraid to lose data on it in later when i'm not prepared.",1.0,0,failed galaxy note months.lost picture video were not_backed up.the card worked fine suddenly was not_being recognized phone computer.sandisk honored warrenty sent replacement work less confident product afraid lose data later not_prepared
"I bought this card for my android based phone, soon I started getting messages that my card had been removed and or it was damaged, Tried it in my tablet same thing, and this was not the first card of this brand that I had bought that experienced this problem. Went to several online forums to see what the solution is; then someone hit upon it, it just might be a problem with this brand of cards.I bought a PNY brand micro SD card and had no problem whatsoever.",1.0,0,bought this card android based phone soon started getting message card had been removed was damaged tried tablet same thing this was not_the first card this brand had bought experienced this problem went several online forum see solution someone hit upon might problem this brand cards.i bought pny brand micro card had no_problem whatsoever
No problems with the card what so ever. Bought it for a new tablet just plugged it in and started to move files to it in a second.,5.0,2,no_problems card ever bought new tablet plugged started move file second
"Its going back because it doesn't meet spec.Tested with  H2TestW, write speed is only 9.69 MB/s. Read speed is good at 18.80 MB/s. (although Sandisk claims up to 30MB/s)Meanwhile, a class (10) 32GB Transcend SD card I have writes at 15.30 and reads at 18.20.I also have a few class (6) 4GB Sandisk microSD cards writing at 15.40 and 15.50. Reading speed is 18.40 and 18.30.I also have a class (4) Kingston card that beats this class 10 Sandisk.",2.0,0,going back because does not_meet spec.tested h2testw write speed 9.69 read speed good 18.80 although sandisk claim 30mbsmeanwhile class 32gb transcend card have writes 15.30 read 18.20.i also have class 4gb sandisk microsd card writing 15.40 15.50. reading speed 18.40 18.30.i also have class kingston card beat this class sandisk
"Not bad, I doesnt feel any quicker than a normal 32GB card.  And you only get 27GB of storage. 20",3.0,1,not_bad does not_feel quicker normal 32gb card get 27gb storage
"Downloaded eraseUS and formatted to fat32 with 32k clusters.  Mounted to either 7 or 10 with no problem, see nada instability.  But that's not the coool thing.  I actually have two of these.  One is in the sd slot, one is in the power port via the samsung sd/usb adapter.  Soooo, my 16g 10 is actually a 145gb 10.  I can't imagine what I will actually do with all that, but I have it.  Maybe run a Linux port and web server (just because I can).  Too bad about that external storage limit on iOS....",5.0,2,downloaded eraseus formatted fat32 32k cluster mounted either no_problem see nada instability not_the coool thing actually have two one slot one power port via samsung sdusb adapter soooo 16g actually 145gb 10. can not imagine will actually have maybe run linux port web server because can bad external storage limit ...
"I thought this was a sure winner from the average 4.5+ rating with thousands of reviews.  But if you notice the bad reviews involve the card becoming unreliable after a couple weeks of use. Typically people write reviews shortly after receiving the product.  My card worked fine for 2 weeks and then started having problems.  I re-formatted the card, re-inserted in the phone, removed the battery, every trick I could read about but the card still remained unreliable and the phone was thinking it was being removed at random times.  So I stuck my olders, slower 8GB microSD card in, worked fine.I suspect one or both is happening with this card:(a) Some cards are defective but it takes some usage for them to start failing to where the user notices.(b) For some reason, this brand of card doesn't like certain devices, like my Samsung Galaxy S3My guess is I got a lemon, but I'm not chancing it to getting another one and will just move on to another reputable brand.""You get what you pay for"" may be applicable here.  But a lot of others did have success with this card.  So YMMV.",1.0,0,thought this was sure winner average 4.5 rating thousand review notice bad review involve card becoming unreliable couple week use typically people write review shortly receiving product card worked fine week started problem reformatted card reinserted phone removed battery every trick could read card still remained unreliable phone was thinking was being removed random time stuck olders slower 8gb microsd card worked fine.i suspect one happening this card card are defective take usage start failing user notices.b reason this brand card does not_like certain device like samsung galaxy s3my guess got lemon not_chancing getting another one will move another reputable brand.you get pay may applicable lot others did have success this card ymmv
"However, SanDisk replaced it and didn't charge for shipping.  So I guess I'll wait and see how long this one lasts.",3.0,1,however sandisk replaced did not_charge shipping guess will wait see long this one last
"I got this to add more memory to my HTC EVO LTE phone. It works perfectly, is very fast on both reads and writes, and at 32GB, provides a lot of additional storage on top of the 8GB in the phone. I recommend this specific card for any Android phone. Sorry Apple users... No expansion slot for you! :)",5.0,2,got this add memory htc evo lte phone work perfectly fast read writes 32gb provides lot additional storage top 8gb phone recommend this specific card android phone sorry apple user ... no_expansion slot
"I wanted to believe that those people who wrote bad reviews on memory cards were just unlucky. Well it sucks being one of them. I cannot get this card to format not matter what device, software or technique I use. The mistake I made was that I didn't use the card right away to see if it was good -I thought, its a memory card, what could go wrong. Now I'm out of the US and returning it is not economically sensible. I don't know if it's quality control, but this card simply cannot work in any reader, device, with or without adapter (write protection off on the reader of course). The card shows up on devices, may even show data being copied then when you refresh, nothing has happened. All formatting software says it's write protected and nothing I do can remove it. Why would a new card come write protected anyway?  Very disappointing, especially since I lost data from my phone.",1.0,0,wanted believe people wrote bad review memory card were unlucky well sucks being one can not get this card format not_matter device software technique use mistake made was did not_use card right away see was good thought memory card could wrong returning not_economically sensible not_know quality control this card simply can not work reader device without adapter write protection reader course card show device may even show data being copied refresh nothing_has happened formatting software say write protected nothing_i can remove would new card come write protected anyway disappointing especially since lost data phone
"Despite the Class 10 rating, this card has much slower write speeds than some others and there are numerous examples online of it not being fast enough to work with the high resolution video from the GoPro Hero 3 Black Edition. If you're using that camera, choose one of the cards recommended on their site.",1.0,0,despite class rating this card has much slower write speed others are numerous example online not_being fast enough work high resolution video gopro hero black edition are using camera choose one card recommended site
"My Droid Razr runs a little slow, is it because of this card?  I can't be sure.  What I am sure about is I put this card into my GoPro Hero 3 Black Edition and the video I record comes out choppy.  So I bought the SanDisk Extreme Pro 16GB version of this card, and the GoPro works fine now.  SanDisk is normally very good, so perhaps I somehow got a bad Ultra card.  I never returned or exchanged it because the warranty had expired before I tried it in my GoPro and knew for sure the card was slow.  The SanDisk Ultra should work in the GoPro Hero 3 according to the GoPro website, so again, perhaps I just got a subpar card...",3.0,1,droid razr run little slow because this card can not sure sure put this card gopro hero black edition video record come choppy bought sandisk extreme pro 16gb version this card gopro work fine sandisk normally good perhaps somehow got bad ultra card never_returned exchanged because warranty had expired before tried gopro knew sure card was slow sandisk ultra should work gopro hero according gopro website perhaps got subpar card ...
"I bought this card excited to expand the 16GB of storage that come with the phone.  However, this card had issues mounting when I would start the phone.  After some research, it looks like SanDisk had a large batch of bad cards.  If formatted as FAT32 the issue rarely occurred.  But when formatted as exFAT, like is ideal for mobile devices, it would happen every time the phone was reset.  Take caution with these cards.  The bad batch should be over, I have read, but if looking to use in a Samsung phone, maybe considering buying a different type of card, as this is the only brand I have seen with issues.  Other than that, it is a good card with great size.",3.0,1,bought this card excited expand 16gb storage come phone however this card had issue mounting would start phone research look like sandisk had large batch bad card formatted fat32 issue rarely_occurred formatted exfat like ideal mobile device would happen every time phone was reset take caution card bad batch should have read looking use samsung phone maybe considering buying different type card this brand have seen issue good card great size
"I think I got 8 or 9 months out of this before it started to fail. It is still working intermittently but my phone will suddenly stop being able to read it for no apparent reason. &#34;Designed for durability&#34; my foot. It might survive in salt water but it didn't survive in a phone that, frankly, doesn't get a whole lot of use. This is the first Sandisk product I've ever had fail on me. It may still be under warranty but I don't care. Now that I have to replace it I'm going to go with another brand.",2.0,0,think got month this before started fail still working intermittently phone will suddenly stop being able read no_apparent reason 34designed durability34 foot might survive salt water did not_survive phone frankly does not_get whole lot use this first sandisk product have ever had fail may still warranty not_care have replace going another brand
"I use this in the S2, works great, movies, pictures, passworded storage areas, everything is working fine after 6 months! Your mileage may vary, good luck.",5.0,2,use this work great movie picture passworded storage area everything working fine month mileage may vary good luck
Tried this with its adapter on DSLR Camera and got some errors at times while trying to save data to card.  It is ok for other uses like computer external data.,2.0,0,tried this adapter dslr camera got errors time trying save data card like computer external data
"I have always trusted the SANDISK brand for valuable data.  This was ordered for my tablet and again, great size and quality for the price.",5.0,2,have always trusted sandisk brand valuable data this was ordered tablet great size quality price
"Everything transfered over to my new SD card fine, but now my phone will randomly lose the SD card and have to search and re-scan it. Tried another SD card and no problems. Now I can only get a refund since its out of stock.Updated 12/9/12-SD card will not not work. My phone or computer will not read it. Lost everything. I'd advise if you are looking to purchase an SD card look at another brand.",1.0,0,everything transfered new card fine phone will randomly lose card have search rescan tried another card no_problems can get refund since stock.updated 12912sd card will not not_work phone computer will not_read lost everything would advise are looking purchase card look another brand
"I bought this on October 9th and didn't start using it for about a week after I received it on the 11th. Well two days ago it died a quick death, I can't even format it! So after all these years of buying SanDisk products I guess I will give in and start paying a little more for Kingston it seems as though SanDisk is getting to be a cheaply built product. You would think that a product this small and inexpensive would be able to be replaced without cost within the first 90 days but that is my fault for not reading the fine print so lesson learned. Buy it right and buy it once so go with something else!",1.0,0,bought this october 9th did not_start using week received 11th well two day ago died quick death can not even format year buying sandisk product guess will give start paying little kingston seems though sandisk getting cheaply built product would think product this small inexpensive would able replaced without cost within first day fault not_reading fine print lesson learned buy right buy something else
"SanDisk makes quality products and you can count on them at a small price than the competition. Again, why pay more for the same thing when this fits the bill for your needs. Save your extra money or give it to a needy family member....We recommend this product with an A+ rating.",5.0,2,sandisk make quality product can count small price competition pay same thing this fit bill need save extra money give needy family member ... .we recommend this product rating
"I've only had this Memory card for 3.5 weeks and it not only has recently started resetting, it intermittently loses contact with my Cell phone and the memory is lost, erasing everything on it!!!!!! Now I find out my return date has past and I'm stuck with a peice of s*** memory card that I can't do a damn thing about! Thanks a lot for nothing! I will never buy direct from here again!Also, I didn't realize I was supposed to have an adapter too? wow where the heck is that at???",1.0,0,have had this memory card 3.5 week not_only has recently started resetting intermittently loses contact cell phone memory lost erasing everything find return date has past stuck peice memory card can not damn thing thanks lot nothing will never_buy direct also did not_realize was supposed have adapter wow heck
