text,sentiment
Bought this to add additional memory to my Nokia Lumia 520 and works great as soon as I popped in the card.,2
"I love SanDisk, and I have used quite a few of their products, including an mp3 player, a couple of USB keys and even a micro SD card (class 4). I have never had any problems. After installing this card, however, I have seen it unmounting itself randomly to be detected again and automatically being mounted by my Galaxy S4 device. This happens several times a day, including when I am in the middle of watching a movie on the phone (this is the first week that I have had the card). This is unacceptable. Normally, I would have just asked for a replacement, but after doing some research online, I have found out that this seems to be a recurrent problem on many phone models and doesn't seem to be just ""a dud"", but a production issue. I have returned the card, and I am going to go with another brand instead.",0
"I bought this primarily to use in my Surface Pro. It would randomly dismount itself. I do not know if it was the Surface's fault or the card's fault. Upon doing a little internet searching, I found this to be a common problem with Sandisk cards and the Surface Pro. I used another brand microSDXC and it has worked fine.",1
No problem in using it to store medium res video for my kid's android device. Works as expected and as described.,2
"I have lately purchased two micro-SD card one Sandisk Ultra 64GB microSDXC and 1 Sandisk Extreme Pro microSDHC 16GB. The first one claim 30MB/s the second claims 90-95MB/s. I 5 tests on my Galaxy Note 2 and 3 different benchmark test on my computer using USB 3.0 card reader. I can only get 7-8MB/s (this not even class 10, let alone UHS-1). I even did real world testing by copy a large set of data (2GB of photo).The result is no different. I do own Sandisk extreme SDHC card on my T3i and I do get 65MB/s of transfer rate. I strongly recommend consumers to test their premium (UHS-1) microSD. I felt very disappointed on Sandisk. I will try other brand like Samsung, Patriot or Lexar.",0
"Unfortunately this sd card is not fully compatible with the samsung galaxy s2. I installed it and the phone would &#34;check&#34; it only to tell me &#34;SD card ready for removal&#34;. This was a continuous cycle and even after formatting to FAT32, NTFS, and FAT the card would not work and would revert back to exFAT format.I do recommend this product for those who can get it to work but my 3-stars rating is only due to a lack of compatibility listing on the product site.",0
"Bought this for Samsung Galaxy S3 in Fall 2012 and that card works perfectly to this day.  Bought the same card in May 2013 for Galaxy S4 and it continuously mounts and unmounts.  Sometimes it is not even recognized by S4 or PC.  Amazon is awesome and pre-shipped a replacement.  It did the same thing, though.  According to Cnet, Sandisk acknowledged a &#34;manufacturing problem&#34; with these cards back in January 2013.  Said it was fixed, but the bad cards must still be sitting in warehouses.  Returned both and ordered Samsung's 64gb micro sdxc card.  $12 more and slightly slower read/write specs, but works perfectly in S4 and I can't tell the difference in its speeds compared to the Sandisk that works in my S3.",1
"After I inserted the micro SD card to the adapter I can no longer removed it from the adapter. It was stuck inside the adapter permanently. I definitely received a defective item. I also read a lot of reviews saying this card have bad sectors.Another, while I was transferring from my computer the transferring of files suddenly stopped and said there was an error.Sandisk's quality control department should up their game. They're selling products to the general public that are defective and flawed (not all of them BUT a lot of them). It's just not me. I also read a lot of reviews saying the card they got were also defective.",0
"I have exclusively used Sandisk Extreme cards in my pro photography gear for years and they have NEVER let me down. This one is a dud, though. I plugged it in, let my phone format it, and then start copying to it. Everything copied just fine, but after I got done, that's when it started acting up.If I had my phone plugged into the computer and was using it as a storage device, I got tons of CRC errors and/or messages saying that I needed to format the card before using it. The phone would come up from time to time saying that I had inserted a blank card. If I reboot the phone, it works fine for a little bit, and the errors would start again. I thought maybe it was the way the phone formatted, so I tried to format it on the computer, but that didn't help anything.Very frustrating! Thankfully I've had it for 2 days before the trouble started, so it's going back to Amazon for a refund and I'll have to find a more reliable card for my phone.",0
Um nothing much to really say about it . The adapter for it works but I gave it 3 stars because it goes in n out sometimes,1
"Reliable and inexpensive. However, it's quite slow, far, far slower than the 64GB samsung pro microsdxc. The Samsung works well for interactive use while I would only use this Sandisk card for applications where speed isn't important.",1
"Great little card.  The only problem I have experienced may not even be related to the card, but Android OS itself.  I experience buffering/'hiccups'/pauses when watching a video if I also have my utorrent client in the background downloading.  I am not sure if this is limited to the card itself and possibly a faster write speed is needed, or it's the fault of the phone's OS.  However, I am confident that it's operating within spec.Card looks good too.. too bad it's in the case of my phone never to be seen.",1
"It works, but file writes are a bit slower than expected on a USB3 reader.Also, both reads and writes are FASTER with the card inside the standard-size SD adapter (15 MB/s vs 10 write; 45 MB/s vs 22 MB/s read) on the same card reader.  Can't figure why...",1
"I bought this on October 9th and didn't start using it for about a week after I received it on the 11th. Well two days ago it died a quick death, I can't even format it! So after all these years of buying SanDisk products I guess I will give in and start paying a little more for Kingston it seems as though SanDisk is getting to be a cheaply built product. You would think that a product this small and inexpensive would be able to be replaced without cost within the first 90 days but that is my fault for not reading the fine print so lesson learned. Buy it right and buy it once so go with something else!",0
"NOTE:  please read the last update (scroll to the bottom) - I'm leaving this review as 1 star as it appears to help others who purchased and had a similar experience.I give SanDisk 5 stars for customer service and 1 star for the product (for those manufactured in the past)  For those newly manufactured products that contain the software ROM fix, I'd give the product 5 stars.To all those who purchased this card due to all the great reviews.... and then used it in a Galaxy S4 (GS4) smartphone for storage, the solution to the problem is not one you can solve without returning the card to SanDisk for a replacement under warranty.  Believe me I tried everything that the Google searches returned as solutions... formatting as exFAT, formatting in the GS4 then copying data to the card while in the phone etc.... nothing worked... and so now please stop pulling out your hair and hopefully you will get the same result which I hope to get soon (just RMA'd and will send it back tomorrow for a free replacement under warranty).The problem (As confirmed from the SanDisk customer support rep when I asked specifically asked him):- When used in the GS4, this card will unmount itself inadvertently (may be true only for cards manufactured before the ROM patch described below was implemented in manufacturing).  This can cause the data to become corrupt (luckily was not my experience) and / or can be very frustrating as most of us are saving 13 MP camera pictures to the card (or MP4 movies that stop in the middle of the movie) and it unmounts when you view the picture in the gallery or worse, right when you take the picture (this was the issue I experienced).- SanDisk knows about this issue.  Again, SANDISK KNOWS ABOUT THE ISSUE AND WILL REPLACE YOUR CARD. Call them (info below) and they WILL take care of it under warranty.  They have a good name for a reason and they want to keep it. (sorry SanDisk about the 1 star, but I thought it was the way to get the message out to those searching for a solution)- The customer rep told me that SanDisk tried to work with Samsung to resolve the issue but Samsung refused to acknowledge a problem exists with this card and some of their phones (especially their flagship GS4 phones).- The customer rep told me that to their knowledge the card works fine in regular cameras (not Samsung GS4 phones with cameras, obviously) and even worked fine in some phones from HTC etc. that could accommodate the 64 GB cards. Hence the 5 star ratings from others.- The solution SanDisk came up with was to write a patch into the ROM of the card itself to specifically address the issue on Samsung GS4 phones (and maybe other Samsung phones like the GS3).  I was assured that the new card I would get would work flawlessly. will see in about 3 weeks.- I purchased my card from Amazon June 2013, so the ones currently being manufactured and the one I should get will have the new patch.  However, as SanDisk manufactures in batches (like most of the industry), old batches of ""unpatched"" cards obviously exist in warehouses.- I asked about a software patch I could download and was told it's not possible... hence the ""hard coded patch"" in the card's ROMSo... how to take care of the problem....After speaking with the SanDisk US customer support (link and info below), this is what I learned and did.Go to the SanDisk site1) [...]2) call consumer products support (this is the US no.) 1-866-SANDISK (726-3475)3) Tell them that the card is unmounting itself in your GS4 (I assume this is also a problem experienced by GS3 owners too)4) They will then confirm your information, approve your return (10-15 min approval window by mine was basically instantaneously), and then send you emails with a UPS return label and instructions.5) BTW, they also asked if I had a magnifying glass to ID the serial no. on the card, but I didn't and couldn't read it myself (those numbers are super small printed into the plastic... don't believe me?  take a look yourself.)  I told the rep I couldn't read them and he said no problem, they would process without the serial no.  I assume this is because they send you a new replacement card only when they receive your card you send in.  Makes sense.Well, that's it.  Problem (hopefully) solved.  Let's see in 2-3 weeks.  The rep was super nice about it and seemed like they were all too familiar with the problem.  KUDOS TO SANDISK FOR TAKING CARE OF IT... however, it would be nice if there was some type of communication / notice of the issue besides Google info sources, forums etc.  I spent hours, maybe a couple of days total hours worth, thinking it was an issue with my phone / my data transfer.  oh well, that's how it goes.I really hope that this review helps some of you out there with the same problem as me.  GOOD LUCK!!(btw, I'd give the card 5 stars if this problem was solved in the patched ROM of newer cards as the data transfer speeds are awesome on the card (tested transferring data via a card reader hooked to my computer)... if the data transfer / remaining mounted in the GS4 issue never existed (pre-patch of ROM, of course))UPDATE: 08/17/2013 - All went well with the return of the SanDisk Storage card.  UPS shipping took about 2 days from when I sent it, SanDisk verified the warranty claim 1 day later and 5 hours later that same day, my replacement card had been shipped. waiting on the new card now, but expect to test it out very soon (early next week).  will update the post after testing out the new card.  Just as a reference, I've been using a 32GB Micro SD HC SanDisk card in the GS4 since having shipped the 64GB card.  Obviously it's a different card and not the Micro SD XC kind. Other than a bit slower access speeds to the card, absolutely zero problems.... well if you don't count that it's basically filled up, hence why the 64GB option is great on the GS4. So it proves the point on the problem with the early build Micro SD XC 64GB cards.I'm happy to see that my review has helped some others out there.  Good luck to you in your warranty claim. my experience with SanDisk customer support has been excellent so far.Update: 08/21/2013 - Received the new replacement SanDisk Storage card just a few days ago (shipping back to me once they agreed it was defective was a very short time window).  Have had it running in the Galaxy S4 for a few days now without any jumps, stutters or card unloading in the middle of picture or video taking.  Card seems to work flawlessly as the SanDisk Rep mentioned it would. One would think it's such a short time to test after a few days of use, but if this were not fixed already it would have dismounted in the first 45 minutes... that's how often and how fast it was occurring. so it would seem the problem is solved. The new SD card makes the phone even more responsive when moving between pictures in the gallery and performing other tasks like copying files to the card.  Thanks SanDisk!  Unless I update this review by next week, you will know that the problem has been fixed.Good luck to those with similar problems as we now know how to get it fixed thanks to SanDisks great responsive customer service.Update: 08/31/2013 - This is the last update to this review just to ""close the loop"".  The new replacement card from SanDisk has been running flawlessly for about 2 weeks now.  I have not experienced any of the initial problems.  SanDisk really did fix the issues in the new batch of cards.Update: 12/09/2013 - The card has been running in my GS4 flawlessly since replacing it around Aug 21st.  Pretty good track record so far (~ 3.5 months) so it appears to be fixed with the newly manufactured (replacement) cards.For those that have left comments that I should change the rating upwards now that the issue is fixed (see my addition at the beginning of this review)... When searching for a solution to a problem with a purchased product, most people start at the 1 star reviews to see what others have experienced.  This is especially true for products with a lot of reviews (this is what I did in the beginning with this product).  Therefore I think leaving it at 1 star and adding the comments at the beginning should clarify the review.Thanks to review commenter ""Da Shocker"" for his input.  I think he sums it up very well when it comes to the value of files stored on media like this:""One more thing.. to those not happy with the one star rating by this person go ahead buy one. Take tons of pics vids and save some music on there then when the card crashes come back and give it a five star. A card cost $50-$100 pictures from a vacation or family event are priceless.. """,0
"I connected it to my galaxy S4, but every now and then (once or twice a week) it will eject from my phone and the phone will need to re read the card. It's not a big issue, but when it happens you may need to wait like 4 min for your files.It happens a lot less now that i dont use the powersaving funtion. Something about the powersaving on the phone seems to not deliver enough power to the card.",1
"The card does all it promises to do, but I have a gripe: the nail-ridge near the outer end of the card is not defined enough, which makes it rather difficult to extract the card from a reader or adapter.This is the first MicroSD card I have that has had this problem.",1
Using this on a Galaxy S III. Works just fine with stock TouchWiz and custom ROMs. Haven't had any corruptions or lost files. Purchased it once it hit the $50-$60 range and looks like it'll stay there for a while.,2
I take my tablet to the gym in the morning and either watch movies stored on this card or stream Slingbox from the house. This allows me to store a lot of movies at one time. Works great.,2
"It works fine with my galaxy note 8.0... it is hard to review now for performance, but the price is good... I think.",1
Don't even waste your time buying this memory card. 64GB is written on it but its actually even less than 3GB that's in it.i have never experienced such deception.i had tried loading my pics and music and other data on it from day one but no matter what i did i won't take more than 3GB of data. i didn't realise till i read other stories of similar memory cards that will state 64GB but would contain a smaller memory capacity often times even less than 10GB.i bought this card for $49.what a big waste!!now i am so scared of buying memory cards on amazon or online elsewhere.i wouldn't dear it again!it was in a sealed  sanddisk packet so i was thinking it must be original.Alas!it was a big  waste!i have lost confidence in buying memory card on amazon.,0
"I bought this card excited to expand the 16GB of storage that come with the phone.  However, this card had issues mounting when I would start the phone.  After some research, it looks like SanDisk had a large batch of bad cards.  If formatted as FAT32 the issue rarely occurred.  But when formatted as exFAT, like is ideal for mobile devices, it would happen every time the phone was reset.  Take caution with these cards.  The bad batch should be over, I have read, but if looking to use in a Samsung phone, maybe considering buying a different type of card, as this is the only brand I have seen with issues.  Other than that, it is a good card with great size.",1
"I bought this memory card the day I received my Samsung Galaxy S4. It arrived in two days via Prime, plugged it in and formatted. It offers 59.45 GBs of usable space. Being that the card is Class 10, reads are super fast and writes are great. UHS-1 is, sadly, mostly only supported by DSLRs, so most smartphones and devices won't take advantage of the super, super speed, but nonetheless, the card is fast.This card has lots of storage, affordable, transfers and reads fast. I'd recommend this for people who carry a lot of media, such as music and videos.",2
"The 64GB card I purchased actually contains 4GB of flash memory and some kind of hack that causes it to appear as a 64GB drive in various drives and readers. Of course, this took me a while to figure out since I only just got around to copying more than 4GB of data to the card, but with some testing I have nonetheless discovered this to be the case.The card I bought was in Amazon Frustration Free packaging. I don't know if cards purchased that way are less likely to be counterfeit than retail packaged versions, but I suspect that I will stick with manufacturer packaging from now on.",0
"I purchased this for additional memory for a smartphone and so far, so good; I have not had a problem with this memory card.",2
"Spent over $50 and the thing came fast and didn't work.  Neither my computer nor my phone could read it or format it.  I have had plenty of memory cards, so I know to unmount it with software.  Odds are yours will be fine, mine sucked,",0
"I'm not sure what to expect from a product like this, over the short term, other than it doesn't fail and is a good price. It has worked well in my tablet without incident. I would buy this again.",2
"Got this yesterday, the 64GB item. Installed it in my new Samsung Tab3 and turned it on. the Tab3 saw it right away, and I decided to format it,,, only took a couple of seconds and I was good to go. It shows that I have 59,000 memory units available, they must use the rest for overhead I guess. I haven't used it yet, but I am sure it will work fine. If I have any problems I will note here,,, also if I have great praise for it I will note that also. At $34.99 I guess it was a good price as I see it is now $46.00, maybe I shoulda ordered two of them. This is my first time for a lap top, and I will be on a big learning curve. I got the lap top at Costco last week,,,,,,,, I sure hope a old dog can learn new tricks.....",2
"I bought this to stash all (the ones I would watch on the go) the movies and songs that I previously owned to my new Galaxy S4. I am extremely impressed with how fast the device works outside of the phone and inside when used by the phone. It is dramatically slow when the phone with the sd card in it is wired up to the computer via usb, but that is really unrelated and the process isnt painstaking. Fast and huge in capacity, definitely a must for enthusiasts.NOTE: As of ICS, Android has stopped allowing the movement of apps into the sd card. So if youre planning on installing games onto the card, you will need to have a rooted phone. The card is very useful for other things (music and video, and ROMS if youre interested) even then.",2
not much to be said about this. sandisk makes some of the best SD cards..i have even washed mine in the washing machine by mistake and it still works,2
"I like it comes in handy fits good with my Galaxy S5 smartphone, no problem with filing data on a computer.",1
"I am using it my camera instead But if you want it on a sum sung, this isn't the one to buy.",1
"I am hoping that I received a defective product and that my experience is rare, but this product did not work as intended. I was replacing another 32G micro sd card thinking that, because this is a Class 10 rated product, it would be faster. It never worked correctly. It kept dismounting unexpectedly, losing data, and was just not worth the money AT ALL! I ended up using my slower rated product which has worked reliably since the day I bought it. I only wish this product had done the same.",0
"Sorry to say but I have to pull down rating from 5 to 2. The card went bad in just couple of months. No option to return as its beyond policy.The card came on time, good packaging and works so what else to add for this 16 GB SD card.",0
"The cars seemed great, but occasionally the card is suddenly &#34;not formatted&#34;, even without writing new data to it. Has happened in multiple devices.I lost some video I can't rerecord on it, and am fairly upset.Some forums say that the early runs of these cards did that occasionally and that it has been fixed on new runs, but I find it difficult to trust them now. I have never had this problem with any SanDisk product before, including the 5 of these cards I have in 32GB.Very disappointed.",0
"Although Amazon claim it is a C10 ultra fast Memory Card, it actually has much slower write speed than other C10 microSD card (it only scores about 60% of the normal speed). For example, I have tested it against my old Maxell C10 HC microSD card. The test was done by writing the same 3035MB random data from DRAM to empty microSD card through a USB3 card reader. The resulting time was the average value from 3 tests of each device:SanDisk Ultra 32GB C10/UHS1: 5m50.816s means 8.7MB/sMaxell C10 HC: 3m38.787s means 13.9MB/sThe speed is completely unacceptable for a Class-10 claim (13% lower than 10MB/s, the lowest boundary of Class-10 device), even the over-advertisement of SD card speeds are common (claiming 30MB/s for actual 12-15MB/s). It is almost a scam. Some Class-6 card will beat this ""Class-10"" card.",0
"never used a micro sd card before, theyre a lot smaller than i thought, smaller than my finger nail. i wrote 150 songs to it from my laptop in about a minute. wrote a 750mb movie in under 3 minutes. glad i bought the class 10 card. the agptek 10"" tablet reads from it instantly with no loading. the mobilemate microsd/usb reader works well with it",2
"I got this for my Samsung Galaxy Tab 7.7 (p6800) and it worked great for about 3 weeks - September 18 through today, October 7.  It just died while I had the tablet attached to my PC and was copying another file onto it, so I've changed my rating from 5 stars to just 1 star.  I'd give 0 stars if I could.  Another user warned me that this had happened to him after 4 1/2 months, but 3 weeks?!?!?!?!?  I've reported this to Amazon and asked for a refund.Stay as far away from this card as you can, at least for the Galaxy Tab 7.7.UPDATE:  Amazon refunded my money for this card, and I replaced it with the Samsung equivalent, which is STILL working perfectly.  Don't waste your time and money on this card - get the Samsung.",0
"The package arrived on time, it's very well packed and it's got an adapter. It works perfectly with my phone, though it doesn't allow a computer format, once it's been on the phone, so it asks you to erase everything before you use it on a computer. So if you're planning on buying this for different purposes and devices, gotta be aware of this. I just need for my phone, so I transfer files with my usb cable, that works just right. I also give it a 3 star because it says there are 64gb, but even when it's totally formatted it only reaches to 60gb..sooo, I don't know where my other 4 gb are...anyways, overall it's working well. I do think it's expensive for what it is.",1
I use in a tablet.  Works perfectly.  Good size / price.  The more capacity ones will come down eventually but this is perfect right now.,2
Got a defective memory card.  Showed only 1 GB instead of the 64 GB.  Returned it for a replacement and never got the replacement!  Got my money back and went to Walmart.,0
"than i expected. I don't know if it would kill any manufacturers to actually have a memory card or stick or device to actually HAVE Available the advertised capacity. Fortunately l learned that the advertised and actual available memory are TWO SEPARATE THINGS before i bought it, always scroll down and read the technical spec of a device or anything before you buy as that way ideally, your actually informed. Let the buyer beware, is more appropriate every day as most things are not exactly as they seem. And if it's food and cheap, it's likely cancer causing and don't feed your body and your car in the same place.",1
"We always come straight to Amazon for our memory card needs, and SanDisk is one of the reliable names in this category.  Lots of usable memory for minimum cost outlay so there is no downside to this product. Max out storage on your compatible devices!",2
"I have had the 32gb in my Galaxy S3 for almost three months and there were no issues. However, the phone just recently started telling me the card has unrecognized files or it is empty, causing the loss of my media. I chose to format it after seeing the error for too long, chalking it up to some random error. Somehow, yesterday, all of the files on my card magically reappeared and I was able to play my music again, despite having had the phone format the card. Shortly afterwards, the error reappeared. I put the card in my computer and it is simply not appearing. Shame, but I think this is a risky card to purchase.",0
"I bought 64GB version of the card to use with GoPro Hero 3 black edition.  It didn't work out.  The card worked OK if camera was set to resolution with lower bit rates.  E.g. worked fine in 720p with protune on, or 1080p with protune off.  However, in 1080p with protune on (bitrate is just shy of 6 MB/s in this mode -- much higher then with protune turned off) it was nothing but trouble.  Camera would sometime work, and sometime randomly stop recording for no obvious reason.  I first suspected camera, but testing with different SD cards, it ended up being SanDisk's card that was at fault.  My spare card, an old and cheap 16GB PNY (also class 10), worked just fine under same conditions and with same camera settings.Once it was obvious it was problem with the card, I found people on GoPro's forums that had trouble with this specific card as well (well, you always find these only after you figure it out for yourself, right?).  Anyhow, I did some speed tests with the card by doing simple write of 1GB file full of zeros using Unix dd utility to copy 1GB of zeros from /dev/zero (where else would you find that many zeros ;-) onto a file on the card.  The result was that on average, SanDisk's card would manage about 10.2 MB/s.  Just barely above the bar for class 10 card.  However, that was average over 1GB.  During the write test, the speed was oscillating with many spikes and drops.  Drops were as low as 7MB/s.  Uh.  I thought write speed of class 10 card should never dip below 10 MB/s?  For comparison, my old cheap class 10 PNY card was chugging along at constant 13 MB/s under the same test.  No spikes and no drops in speed.The card will probably work fine in most devices, as bitrates when recording 1080p video are often low enough and/or camera might have huge buffer.  But if you want to use it to record video at high bitrates, and your device doesn't have huge buffer to compensate for speed bumps of this card, you may run into trouble.  Be wary of using it in Hero3 in modes that have higher bit rates (e.g. 1080p with protune enabled).SanDisk's website lists part numbers as SDSDQUI-064G with adapter, and SDSDQUA-064G without adapter.  This conflicts with product description on Amazon.  While this is likely just Amazon not getting product description right again (a bit too common thing), it's interesting to note.[Update Apr 20 2013]:Some numbers from testing the card.  The test is extremely simple.  Write out 1GB of zeros onto the card using standard Unix dd command to read 128KB blocks of zeroes from special device /dev/zero and write it onto the card.  128KB * 8192 = 1GB.  dd displays transfer stats once it finishes.  While dd was running, I run iostat in second terminal displaying 1 second interval stats as a measure of current speed.  This was done on the Mac.  dd command line can be used as-is to repeat test on Linux system, however iostat command is different on Linux and would need to be modified slightly.  I choose 128KB block size, as that seems to be what device drivers merges sequential writes into anyhow.  Using different block sizes, results are comparable.$ dd if=/dev/zero of=test bs=131072 count=81928192+0 records in8192+0 records out1073741824 bytes transferred in 101.578307 secs (10570582 bytes/sec)So, 10 MB/s and all is good? Right? Wrong! iostat running in parallel with above dd command recorded this:$ iostat -d -w 1 disk2disk2KB/t tps MB/s123.11 76 9.12116.61 185 21.04122.94 49 5.88128.00 41 5.12128.00 89 11.11128.00 134 16.73128.00 69 8.61128.00 61 7.62128.00 99 12.36[ ... and so on until dd finishes writing 1GB of zeros to the card ... ]IMO, the last column should never dip under 10MB/s for card labeled class-10.For comparison, same test run against Samsung Pro 64GB micro-SD card:$ dd if=/dev/zero of=test bs=131072 count=81928192+0 records in8192+0 records out1073741824 bytes transferred in 52.869111 secs (20309436 bytes/sec)$ iostat -d -w 1 disk2disk2KB/t tps MB/s125.30 138 16.86117.73 157 18.03123.04 150 18.00128.00 159 19.86128.00 156 19.47126.45 160 19.73128.00 150 18.72128.00 154 19.22128.00 153 19.11[ ... and so on until dd finishes writing 1GB of zeros to the card ... ]So, Samsung is on average 2x faster, but more importantly it's speed is much more constant.  And critically important, it never dips under 10MB/s.",0
"I bought this card to replace a lost 16 gig in my phone, (HTC G2). Seems to be working perfectly, so I will recommend to all. WAIT!!! read on...I had this card in my phone for a little over a month when it messed up. The phone stop recognizing the card, tried it in the computer and it was not recognized either. I contacted San-disk and they did send me out a replacement but I lost the few pictures I had on the original card. I could have sent the card to San-disk's data recovery people and they would have charged me $275.00 if they were able to recover the data and nothing if they couldn't. A bit to rich for me so I passed and unfortunately lost the photos.",1
"I use it for my galaxy s4 and this card crashed on me few times, i lost all my photos and music. Thankfully they were all backed up but the worst part is, the card completely stopped working at one point. I had to contact sandisk for a replacement and it was a hassle.",1
Failed after a year!,0
To be honest i purchased this because my son said I needed it with my tablet...I'm sure it will be fine...,2
Sandisk finally admits that defective micro sd cards cause battery failure in the galaxy s3. I had  mine about six months before it failed completely. I submitted complaint to sandisk and await their response.,0
Does it's job and fairly cheap for what it's worth. I had to return my first one and exchange it for another because the first one was defective. Sandisk really needs to do better quality assurance on their products. The second one works perfectly fine. I use it for my GoPro camera.,1
"Sandisk is the best brand in my oppinion. 32GB is a great size to put music, video etc. Recommend it!",2
"Most of my reviews are positive.  This product failed (could not read on my device (a Galaxy S3) nor on my computer with 2 different readers) in less than 30 days.  The customer support is also unhelpful, as they would only replace the card after many questions, they would not provide a refund (I did not want a replacement of a card that failed so quickly).I would suggest buying a different card, it is not worth the hassle and lost data to save a couple of dollars with buying this one.",0
Either it is the wrong chip or a false reading by the device because the data displayed consistently is &#34;insert ..&#34;,0
its 64 gigs it works great not sure what else to say about it really. Not much else to say.,2
"After I put this card in my new S4, my camera would hang and just not respond to anything. Some apps also stopped working.  I put in my old 16GB card and everything worked fine.",0
It's the wrong one because I thought I was getting the 64 GB one.  I need to know  how to return this one and I will reorder the right one.,1
"For some reason this card HATES my Galaxy S4. I was running around in circles for a week trying to figure out why my phone would get stuck at the Samsung screen on reboots. Finally I decided to pull the card out, and voila, phone boots up fine again. It's now sitting in the ashtray in my car.",1
"I bought this for my new samsung galaxy s 4, and the first one I ordered produced formatting issues on my phone every time I rebooted. I looked online and found a number of these got recalled (or something) at one point, and some didn't but just don't work.I returned it for a replacement and the replacement has worked fine in my phone with constant use. I'm on month 4 with no issues.",1
"Beware guys. i bought one of these from Superior Electronics Outlet and it arrived completly dead. i tried to format it on windows and on my galaxy s3 and no go.I tried everything that possible ....have been fighting with this card for 3 days now, and no success so far. No response from the seller about it.My last hope is amazon refund me. otherwise  i just wasted 80 U$",0
It does what it says but the price needs to come down. Alot. 3 stars bcuz it costs too much for what it is.,1
"Just bought 2 new windows cell phones, and of course wanted as much storage capacity possible. So far no problems with the card at all, and do not foresee any.",2
